# File created by converting ColoF.sum to a CSV file, using msm-sum-to-csv.py
#----------------------------------------------------------
# # ********************************************************************************
# #
# # *.sum       Mixed Station Summary Information
# #
# #  Filename:  ColoF.sum
# #
# #  **** = 95% Confidence Interval Not Met
# #
# # ********************************************************************************
# # File History:
# # ********************************************************************************
# #
# # *.xbf       Filled Base Flow at Stream Gages - Mixed Station Model
# #
# #  Mixed Station Model Version:  PC (89/07/18) (Modified 6/8/99)
# #  Run Date and Time:  9/13/99 16:21:15
# #  Filename:  ColoF-1.xbf
# #  Regression:  Simple Linear Regression (Log Transform)
# #  Method:  SEP Dependent
# #  Independent Stations:  All
# #  First Year of Extended Record:  1909
# #  Min. No. of Concurrent Values Required:  5
# #  Confidence Interval:  95%
# #
# # ********************************************************************************
# #
# # 
# # ********************************************************************************
# # *.xbg       Base Flow at Stream Gages                        
# #
# #  UPPER COLORADO RIVER BASIN                                                     
# #  Historic Diversions made at respective historic diversion location             
# #
# #  Statemod Version:  8.24 (1999/07/19)
# #  Run date and time:    9/ 1/99  8: 5:50
# # 
# # ********************************************************************************
# # ********************************************************************************
# #
# # Individual Gage Mixed Station Summary Information:
# 
#   Basin Key:
#   K - KeyGages
#   C - ColoF
# 
# 
# The original ****, which indicates not passing the T test, is replaced with blanks below
#--------------------------------------------------------------------------------------
#Dependent,IndepStation,Basin,ConcurrentValues,R_Jan,R_Feb,R_Mar,R_Apr,R_May,R_Jun,R_Jul,R_Aug,R_Sep,R_Oct,R_Nov,R_Dec,R
"TSID","TSID-Independent","Basin","N1","R_1","R_2","R_3","R_4","R_5","R_6","R_7","R_8","R_9","R_10","R_11","R_12","R"
09032500,09035500,C,84,,,,,0.92,0.95,0.87,0.86,0.76,0.95,,,0.83
09032500,09036000,C,312,0.47,,,0.72,0.82,0.89,0.93,0.87,0.82,0.90,0.61,,0.92
09032500,09038500,C,89,,,0.78,0.96,0.78,0.91,0.79,,,,,,0.95
09032500,09040000,C,162,,,0.72,0.74,0.90,0.91,0.83,0.82,0.67,0.79,,,0.86
09032500,09041000,C,132,0.67,0.64,0.70,0.74,,0.82,0.78,0.85,,,,,0.88
09032500,09041200,C,60,,,,,0.93,,,,,,0.89,,0.84
09032500,09047000,C,312,0.43,,,0.66,0.81,0.78,0.84,0.85,0.64,0.62,,,0.90
09032500,09054000,C,87,0.87,0.78,,0.95,0.93,,,0.71,,0.77,,,0.91
09032500,09060500,C,96,,,0.88,0.86,0.83,0.97,0.93,0.85,,0.84,,,0.90
09032500,09063000,C,192,,,,0.87,0.73,0.87,0.90,0.91,0.74,0.55,0.51,,0.95
09032500,09064000,C,84,,,0.84,,,0.97,0.97,0.90,,,,,0.94
09032500,09068000,C,120,,0.74,,0.79,0.82,0.93,0.94,0.93,0.84,,,,0.94
09032500,09070500,C,238,,,0.54,0.77,0.91,0.93,0.95,0.93,0.86,0.82,0.74,,0.97
09032500,09072500,C,312,,,,0.74,0.93,0.94,0.93,0.89,0.80,0.81,0.73,0.43,0.94
09032500,09074000,C,76,,,,,,0.95,0.95,0.86,,,,,0.97
09032500,09081600,C,60,,,,,0.98,,0.93,0.95,0.94,,,0.93,0.96
09032500,09084000,C,60,,,,0.98,0.92,0.96,0.90,0.95,,,,,0.92
09032500,09085000,C,312,0.45,,,0.65,0.76,0.89,0.87,0.79,0.71,0.69,,,0.93
09032500,09087500,C,72,0.92,0.83,,,,,0.90,0.92,0.82,,,,0.96
09032500,09089500,C,58,,,0.93,,,,0.93,,,,,,0.83
09032500,09093500,C,72,,,,0.90,,,,,,,,,0.52
09032500,09095500,C,312,,,,0.68,0.86,0.93,0.92,0.87,0.77,0.75,,,0.94
09032500,09152500,K,312,0.47,,,0.52,0.51,0.84,0.74,0.69,0.51,0.67,,,0.82
09032500,09163500,C,113,,,0.86,,0.81,0.95,0.93,0.93,0.89,0.86,,,0.97
09032500,954001,C,312,0.42,,,-.52,0.65,-.54,,-.71,-.63,,,,0.72
09033500,09011000,C,108,0.76,0.68,,0.79,,0.81,0.73,0.77,,,,0.80,0.92
09033500,09019500,C,108,,,,0.82,,0.82,0.85,0.67,,,,-.77,0.72
09033500,09024000,C,108,0.69,,0.82,0.79,,0.67,,0.76,0.88,,,0.74,0.89
09033500,09032500,C,108,,,,0.75,0.69,0.82,0.79,0.84,0.78,,,0.76,0.89
09033500,09034000,C,96,,,,0.90,0.92,0.78,0.84,0.93,0.88,,0.72,0.82,0.94
09033500,09034500,C,108,,,,0.79,0.70,0.85,0.82,0.74,,,,,0.89
09033500,09034500,K,108,0.73,,,0.81,0.77,0.85,0.81,0.86,0.82,,0.80,0.88,0.95
09033500,09037500,C,108,,,,0.89,,0.88,0.71,,0.85,,,,0.89
09033500,09037500,K,108,,,,0.89,,0.84,,,0.84,,,,0.90
09033500,09040000,C,78,,,,0.86,0.95,,0.76,,,,,,0.84
09033500,09041000,C,72,,,,0.85,,,,,,,,,0.89
09033500,09063000,C,12,,,,,,,,,,,,,0.98
09033500,09070500,C,58,,,,,,,0.93,0.95,,,,,0.94
09033500,09072500,C,108,,,,0.77,,0.84,0.72,0.70,0.69,,,,0.92
09033500,09112500,K,108,,,,0.85,,,,,,,0.71,0.78,0.92
09033500,09166500,K,108,,,0.79,,,,,,,,,,0.85
09033500,09239500,K,108,,0.69,,0.91,,0.81,0.76,,0.89,,0.88,,0.87
09033500,09251000,K,108,0.73,0.86,,0.95,,,0.79,0.74,0.85,,,0.73,0.86
09033500,09260000,K,108,,,,0.68,,,0.68,,0.88,,0.69,,0.60
09033500,09340500,K,108,,,0.70,0.84,,0.69,0.67,,0.70,,,,0.86
09033500,504600,C,93,,,,,,0.82,,,,,,,0.93
09033500,950040,C,54,0.00,0.00,0.00,0.00,,-.82,,,,,0.00,0.00,0.46
09033500,954001,C,108,,,,,,-.71,,-.71,-.72,,,,0.71
09034000,09019500,C,202,,,,,0.61,0.94,0.87,,,,,,0.70
09034000,09024000,C,219,,,0.59,0.57,0.75,0.96,0.96,0.94,0.92,0.81,0.69,0.54,0.95
09034000,09025000,C,219,,,,0.66,0.74,0.95,0.96,0.95,0.92,0.92,0.56,,0.93
09034000,09026500,C,219,,,0.53,0.63,0.61,0.97,0.96,0.96,0.95,0.89,0.75,,0.91
09034000,09033500,C,96,,,,0.90,0.92,0.78,0.84,0.93,0.88,,0.72,0.82,0.94
09034000,09034500,C,231,,,,0.61,0.85,0.97,0.96,0.79,0.50,0.61,,,0.88
09034000,09034500,K,231,0.48,0.65,0.69,0.66,0.83,0.83,0.87,0.89,0.88,0.78,0.80,0.70,0.95
09034000,09036000,C,219,0.48,,0.66,0.73,0.59,0.97,0.96,0.95,0.96,0.89,0.83,0.49,0.95
09034000,09037500,C,231,0.47,,0.61,0.81,0.90,0.98,0.99,0.91,0.95,0.67,0.67,0.70,0.97
09034000,09037500,K,231,0.48,,0.63,0.81,0.93,0.98,0.98,0.89,0.94,0.64,0.69,0.70,0.95
09034000,09038500,C,65,,,,0.94,0.96,0.99,0.98,0.99,0.99,,,,0.97
09034000,09040000,C,99,,,,0.78,0.96,0.98,0.87,0.79,,0.78,,,0.79
09034000,09041000,C,75,,,,,,0.97,0.93,,,,,,0.85
09034000,09047500,C,99,,,0.79,0.94,,0.98,0.95,0.94,0.76,0.73,,,0.92
09034000,09054000,C,87,,,,0.91,0.97,,,0.80,0.77,0.87,0.84,,0.94
09034000,09058000,C,12,,,,,,,,,,,,,0.99
09034000,09063000,C,135,,0.73,0.75,0.85,0.86,0.97,0.95,0.95,0.86,0.64,0.84,,0.97
09034000,09064000,C,84,,,,,,0.98,0.97,0.96,,0.77,0.84,,0.93
09034000,09068000,C,63,0.92,,,,,0.94,0.91,0.89,,,,,0.92
09034000,09069500,C,60,0.99,0.98,0.95,,,0.97,0.90,,,,0.97,,0.79
09034000,09072500,C,231,,,,0.86,0.86,0.95,0.98,0.96,0.90,0.67,,,0.95
09034000,09084000,C,60,0.89,,0.90,,0.91,0.92,,0.96,,,0.96,,0.90
09034000,09085000,C,231,,0.59,0.47,0.76,0.76,0.94,0.89,0.88,0.84,0.61,0.56,0.50,0.97
09034000,09085000,K,231,,0.56,0.50,0.76,0.78,0.94,0.88,0.86,0.83,0.65,0.52,0.45,0.96
09034000,09095500,K,219,,0.53,,0.84,0.87,0.98,0.95,0.88,0.81,0.74,0.65,,0.96
09034000,09239500,K,219,,,0.60,0.88,0.73,0.94,0.88,0.86,0.80,0.53,0.74,0.51,0.86
09034000,09251000,K,219,,0.53,,0.83,0.73,0.90,0.88,0.86,0.72,0.53,0.60,0.64,0.83
09034000,954001,C,231,,,,-.67,0.85,-.54,,-.72,-.76,,,,0.79
09034250,09011000,C,60,,,,0.95,1.00,0.89,0.96,,1.00,0.96,,0.95,0.98
09034250,09019500,C,76,,,,,0.93,0.98,1.00,0.99,0.96,,,,0.99
09034250,09024000,C,180,0.56,,,0.86,0.86,0.91,0.97,0.95,0.76,0.81,0.74,,0.93
09034250,09034500,C,156,0.97,0.99,0.94,0.99,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.98,1.00
09034250,09058000,C,180,0.74,0.80,0.80,0.97,0.98,0.99,0.99,0.98,0.94,0.98,0.90,0.90,1.00
09034250,09063000,C,180,0.54,,,0.91,0.89,0.88,0.97,0.97,0.66,0.92,0.68,0.62,0.96
09034250,09070000,C,180,0.65,0.79,,0.86,0.89,0.92,0.96,0.93,0.77,0.94,0.93,0.80,0.98
09034250,09085000,C,180,0.72,0.57,0.55,0.76,0.84,0.83,0.94,0.90,0.76,0.94,0.85,0.60,0.97
09034250,09239500,K,180,0.75,,0.67,,0.87,0.92,0.95,0.85,0.66,0.91,0.92,0.59,0.90
09034250,09251000,K,180,0.67,0.67,0.71,0.58,0.66,0.95,0.97,0.83,0.65,0.91,0.88,0.61,0.81
09034250,09260000,K,180,,0.60,,0.59,,0.95,0.94,0.86,0.68,0.85,0.78,0.57,0.62
09034250,09340500,K,180,,0.53,0.70,0.78,0.69,0.89,0.94,0.81,0.59,0.90,0.79,0.64,0.87
09034250,504600,C,114,,,0.78,,,0.54,,,,,,,0.79
09034500,09019500,C,420,0.98,0.98,0.96,0.82,0.90,0.80,0.99,0.96,0.95,0.78,0.92,0.92,0.95
09034500,09024000,C,971,0.24,0.25,,0.59,0.73,0.87,0.93,0.79,0.67,0.64,0.36,0.23,0.90
09034500,09034250,C,156,0.97,0.99,0.94,0.99,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.98,1.00
09034500,09058000,C,480,0.79,0.76,0.85,0.93,0.97,0.97,0.98,0.96,0.92,0.97,0.88,0.80,0.99
09034500,09063000,C,755,,,0.31,0.60,0.74,0.87,0.88,0.85,0.67,0.71,0.52,0.43,0.94
09034500,09072500,C,647,,,,0.78,0.95,0.97,0.96,0.83,0.67,0.66,0.40,0.30,0.92
09034500,09093500,C,233,,,,0.49,0.51,0.62,0.53,,0.56,0.46,,,0.56
09034800,09010500,C,84,,,,0.98,,0.94,,0.82,0.92,0.92,0.89,0.91,0.81
09034800,09011000,C,84,0.86,0.80,0.86,0.98,,0.94,0.77,,0.92,0.94,0.88,0.93,0.86
09034800,09024000,C,84,,,0.93,0.97,0.78,0.84,0.86,0.79,0.77,0.90,0.81,,0.78
09034800,09032000,C,84,,,,0.95,0.82,0.89,0.93,0.80,,0.82,0.90,,0.83
09034800,09034500,C,83,,0.91,0.96,0.93,0.80,0.97,0.83,,0.88,,,,0.88
09034800,09034500,K,84,,,0.95,0.88,0.94,0.96,,,0.86,0.97,0.80,,0.92
09034800,09036000,C,84,0.77,0.86,0.87,0.97,,0.92,0.78,,0.95,0.97,0.91,0.81,0.81
09034800,09037500,C,84,,0.88,0.83,0.96,0.84,0.97,,0.83,0.81,0.91,0.88,0.84,0.86
09034800,09037500,K,84,,0.87,0.82,0.95,0.95,0.92,0.88,,0.93,0.89,0.85,0.80,0.85
09034800,09038500,C,84,0.78,0.82,0.89,0.95,0.90,0.97,0.76,0.80,0.94,0.94,0.95,,0.89
09034800,09046600,C,84,,,0.81,0.96,0.86,0.90,0.90,0.81,0.91,0.93,0.98,0.81,0.76
09034800,09047500,C,84,,,0.78,1.00,,0.91,0.84,,0.93,0.90,0.90,0.87,0.73
09034800,09050100,C,84,0.89,,,0.93,,0.95,0.86,0.94,0.88,0.96,0.96,0.94,0.84
09034800,09050700,C,69,,,,0.99,0.82,0.96,0.94,,,,,,0.74
09034800,09053500,C,84,,,,0.98,0.88,0.92,0.94,,,0.85,,,0.76
09034800,09057500,C,84,,,0.81,0.96,0.86,0.92,0.93,,0.78,0.84,,,0.78
09034800,09063000,C,84,,,,0.96,0.90,0.93,0.86,0.88,0.91,0.95,0.91,,0.91
09034800,09065100,C,60,,,,0.96,,,,0.89,0.97,0.97,0.90,,0.80
09034800,09070000,C,84,,0.89,0.95,0.93,0.82,0.94,0.86,0.95,0.97,0.96,0.77,0.76,0.88
09034800,09072500,C,84,,0.76,0.94,0.95,0.81,0.98,0.88,0.80,0.96,0.90,,,0.90
09034800,09081600,C,84,,0.88,0.82,0.95,,0.97,0.80,,0.93,0.98,0.84,0.83,0.88
09034800,09085000,C,84,,0.86,0.85,0.90,,0.96,0.81,0.82,0.92,0.91,0.86,,0.84
09034800,09095500,C,84,,0.87,0.88,0.94,0.77,0.98,0.86,0.84,0.98,0.91,,0.80,0.89
09034800,09095500,K,84,,0.80,0.90,0.91,0.83,0.98,0.86,0.78,0.95,0.80,,,0.90
09034800,09097500,C,77,,0.82,0.80,,0.91,0.88,0.92,,,,,,0.79
09034800,09112500,K,84,0.94,0.98,0.89,0.99,,0.96,0.81,,0.80,0.96,0.92,0.85,0.91
09034800,09147500,K,84,,,,,,0.81,,,0.83,0.88,0.87,,0.86
09034800,09163500,C,84,,0.77,0.82,0.86,0.79,0.98,0.84,0.87,0.93,0.90,,,0.91
09034800,09166500,K,84,,,,0.79,,0.85,,0.89,0.84,0.89,0.90,,0.91
09034800,09239500,K,84,,0.84,0.84,0.89,0.81,0.91,0.81,,0.96,0.94,0.76,,0.94
09034800,09251000,K,84,,0.82,0.96,0.87,0.77,0.85,,,0.94,0.94,0.80,,0.93
09034800,09260000,K,84,0.79,0.85,,0.87,,,,,,0.83,0.81,0.76,0.74
09034800,09361500,K,84,,0.88,0.79,0.82,,0.92,,0.89,0.79,0.84,,,0.91
09034800,09365500,K,84,,0.85,,,,,,,,,,,0.87
09034800,954001,C,84,,,-.94,-.84,0.83,0.84,,-.83,,,,,0.52
09034900,09010500,C,372,0.45,,,0.48,0.86,0.81,0.93,0.71,0.45,0.76,0.57,0.58,0.95
09034900,09011000,C,252,,,,,0.61,0.89,0.94,0.81,0.65,0.82,0.67,0.56,0.94
09034900,09024000,C,372,,,,0.51,0.84,0.85,0.94,0.87,0.73,0.76,0.65,,0.97
09034900,09026500,C,372,0.37,,0.42,0.46,0.88,0.74,0.90,0.82,0.61,0.58,0.52,0.38,0.97
09034900,09034500,C,348,,,,0.41,0.54,0.78,0.89,0.89,0.62,0.76,0.57,0.54,0.88
09034900,09035500,C,372,,,,0.67,0.95,0.90,0.97,0.95,0.81,0.77,0.50,,0.98
09034900,09036000,C,372,0.38,,,0.63,0.86,0.88,0.95,0.91,0.78,0.73,0.63,0.53,0.97
09034900,09037500,C,372,,,,0.44,0.70,0.77,0.90,0.81,0.73,0.68,0.54,,0.95
09034900,09037500,K,372,,,,,0.40,0.82,0.92,0.75,0.51,0.66,0.56,,0.81
09034900,09039000,C,336,0.59,,,,,0.66,0.76,0.61,0.52,,,0.47,0.84
09034900,09046600,C,372,0.49,0.37,,0.50,0.58,0.73,0.90,0.82,0.62,0.66,0.69,0.55,0.97
09034900,09047500,C,372,0.54,,,0.53,0.91,0.84,0.92,0.84,0.77,0.67,0.68,0.56,0.98
09034900,09050100,C,372,,,0.40,0.52,0.79,0.75,0.93,0.82,0.68,0.55,0.65,0.45,0.94
09034900,09053500,C,96,,,,,,0.97,0.88,,,,,,0.95
09034900,09054000,C,336,,0.40,,0.66,0.84,0.74,0.90,0.81,0.64,0.61,0.53,0.44,0.97
09034900,09058000,C,360,,,,0.36,0.56,0.78,0.93,0.88,0.72,0.71,0.58,0.45,0.90
09034900,09063000,C,372,,,,0.47,0.62,0.60,0.91,0.88,0.71,0.68,0.39,0.48,0.88
09034900,09065100,C,348,0.43,0.46,0.42,0.63,0.83,0.73,0.93,0.85,0.66,0.59,0.41,0.59,0.93
09034900,09065500,C,372,0.37,,,0.72,0.89,0.67,0.90,0.79,0.69,0.62,0.51,0.49,0.94
09034900,09068000,C,84,,,,,,0.95,0.92,,0.82,,,,0.91
09034900,09069500,C,84,,,,,0.87,0.81,,,0.93,,,,0.90
09034900,09070000,C,369,0.39,,,0.45,0.63,0.70,0.94,0.83,0.61,,,,0.89
09034900,09070500,C,372,0.46,,,,0.50,0.75,0.94,0.86,0.70,0.58,0.43,0.39,0.89
09034900,09073400,C,372,,,,0.65,0.89,0.68,0.93,0.85,0.68,0.79,0.64,0.52,0.95
09034900,09074000,C,325,,,,0.46,0.84,0.60,0.89,0.86,0.68,0.80,0.66,0.44,0.92
09034900,09081600,C,372,0.48,,,0.49,0.47,0.58,0.90,0.80,0.60,0.59,0.46,0.56,0.90
09034900,09084000,C,84,,-.80,,,,0.84,0.79,,0.93,,,,0.65
09034900,09085000,C,372,,,,,0.49,0.64,0.93,0.85,0.65,0.58,0.46,0.52,0.93
09034900,09085000,K,372,0.36,,,,,0.59,0.91,0.80,0.63,0.55,0.46,0.43,0.87
09034900,09096500,C,119,,0.67,,,,0.59,,,,,,,0.71
09034900,09166500,K,372,0.40,,,,,,0.77,0.66,0.52,0.45,,0.50,0.69
09034900,09340500,K,372,,,,0.38,,0.63,0.89,0.75,0.50,0.49,0.43,0.41,0.68
09034900,504600,C,283,0.49,,,,,,0.39,,,,,0.61,0.76
09035500,09011000,C,348,0.52,0.56,0.42,0.67,0.73,0.90,0.91,0.80,0.69,0.61,0.47,,0.95
09035500,09019500,C,245,,,,,0.82,0.49,0.89,0.69,0.67,,,,0.76
09035500,09024000,C,471,,,,0.53,0.92,0.89,0.96,0.89,0.74,0.69,0.51,,0.97
09035500,09032500,C,84,,,,,0.92,0.95,0.87,0.86,0.76,0.95,,,0.83
09035500,09034500,C,447,,,,0.54,0.69,0.82,0.92,0.81,0.75,0.72,0.49,,0.87
09035500,09034500,K,447,0.62,0.53,,,0.35,0.45,0.73,0.64,0.68,0.61,0.53,0.48,0.79
09035500,09036000,C,468,0.69,0.66,0.54,0.80,0.94,0.94,0.99,0.96,0.81,0.77,0.62,0.61,0.98
09035500,09037500,C,468,0.53,0.54,0.37,0.72,0.79,0.86,0.90,0.88,0.79,0.72,0.67,0.54,0.96
09035500,09037500,K,468,0.55,0.63,0.39,0.63,0.55,0.85,0.91,0.76,0.71,0.76,0.69,0.53,0.86
09035500,09041200,C,108,,0.67,0.89,,,0.83,0.69,,,,,,0.90
09035500,09047000,C,99,,,0.75,0.96,0.90,0.88,0.93,0.92,0.75,0.75,,,0.97
09035500,09047500,C,372,0.52,0.40,,0.73,0.95,0.91,0.95,0.89,0.85,0.74,0.68,0.52,0.98
09035500,09050700,C,372,0.53,0.37,0.51,0.65,0.81,0.86,0.96,0.90,0.82,0.87,0.66,0.48,0.97
09035500,09053500,C,96,,,,,0.81,0.97,0.94,0.76,0.96,,,,0.96
09035500,09058000,C,360,0.43,,,0.59,0.62,0.82,0.96,0.93,0.85,0.76,0.59,,0.92
09035500,09063000,C,372,0.58,0.47,0.38,0.62,0.71,0.70,0.94,0.92,0.79,0.73,0.61,0.57,0.91
09035500,09068000,C,84,,,,,0.81,0.97,0.99,,,,,,0.95
09035500,09070500,C,382,,,,0.62,0.58,0.80,0.97,0.92,0.83,0.60,0.39,,0.91
09035500,09072500,C,111,,,,0.67,0.75,0.96,0.97,0.90,0.89,0.79,0.75,,0.89
09035500,09091500,C,60,,,,0.88,,0.90,0.95,0.98,,,,,0.74
09035500,09097500,C,268,,0.45,,0.45,,0.56,0.67,,,,,,0.36
09035500,09112500,K,456,0.54,0.41,,0.71,0.45,0.69,0.90,0.79,0.53,0.56,0.53,0.51,0.89
09035500,09239500,K,471,0.48,0.57,,0.43,0.40,0.79,0.89,0.70,0.54,0.52,0.54,0.48,0.68
09035500,09340500,K,471,0.37,,0.35,0.63,,0.76,0.91,0.76,0.57,0.42,0.39,0.37,0.72
09036000,09011000,C,636,0.68,0.68,0.55,0.86,0.77,0.89,0.92,0.81,0.62,0.79,0.71,0.74,0.97
09036000,09024000,C,756,0.38,0.37,0.46,0.87,0.96,0.93,0.96,0.90,0.80,0.74,0.60,0.50,0.99
09036000,09034000,C,219,0.48,,0.66,0.73,0.59,0.97,0.96,0.95,0.96,0.89,0.83,0.49,0.95
09036000,09035500,C,117,,,,0.67,0.95,0.90,0.99,0.96,0.81,0.77,0.50,,0.98
09036000,09037500,C,756,0.58,0.55,0.49,0.92,0.89,0.94,0.91,0.86,0.85,0.84,0.76,0.68,0.98
09036000,09037500,K,756,0.59,0.59,0.51,0.84,0.71,0.93,0.92,0.77,0.81,0.83,0.75,0.68,0.91
09036000,09047000,C,331,0.40,,0.55,0.93,0.86,0.86,0.94,0.92,0.82,0.75,0.67,0.62,0.97
09036000,09058000,C,408,0.73,0.48,0.48,0.87,0.83,0.91,0.96,0.92,0.81,0.90,0.85,0.76,0.95
09036000,09072500,C,396,0.40,0.49,0.68,0.84,0.78,0.93,0.97,0.93,0.88,0.88,0.64,0.47,0.95
09036000,09085000,C,756,0.66,0.66,0.68,0.80,0.77,0.87,0.93,0.89,0.82,0.81,0.71,0.76,0.97
09036000,09087500,C,72,,,,,0.94,,0.92,0.97,0.94,,,,0.93
09036000,09093500,C,167,,,0.56,,,0.57,0.61,,,,,,0.39
09036000,09097500,C,535,0.63,0.60,0.62,0.52,,0.69,0.72,0.35,0.50,0.61,0.47,0.54,0.48
09036000,09239500,K,756,0.64,0.60,0.58,0.63,0.58,0.83,0.90,0.83,0.76,0.76,0.76,0.70,0.77
09036000,09251000,K,756,0.68,0.54,0.55,0.63,0.36,0.80,0.89,0.80,0.68,0.80,0.75,0.70,0.70
09037500,09035500,C,117,,,,0.67,0.95,0.90,0.90,0.88,0.79,0.77,0.50,,0.96
09037500,09047000,C,499,0.43,0.43,0.42,0.87,0.82,0.87,0.88,0.82,0.74,0.61,0.71,0.43,0.97
09037500,09063000,C,792,0.49,0.51,0.57,0.81,0.81,0.87,0.90,0.80,0.76,0.77,0.70,0.56,0.95
09037500,09072500,C,588,0.43,0.36,0.50,0.83,0.87,0.92,0.91,0.85,0.80,0.66,0.37,0.30,0.95
09037500,09085000,C,932,0.53,0.54,0.63,0.78,0.79,0.87,0.85,0.80,0.70,0.76,0.56,0.53,0.97
09037500,09093500,C,209,,,0.76,,,0.56,,,,0.54,,,0.47
09037500,09096500,C,510,,,,0.59,0.41,0.70,0.55,0.70,0.65,0.42,0.43,0.31,0.83
09037500,09097500,C,570,0.55,0.52,0.40,0.54,0.30,0.71,0.57,,0.38,0.53,0.49,0.45,0.52
09037500,09251000,K,857,0.51,0.39,0.34,0.67,0.57,0.82,0.79,0.68,0.64,0.75,0.70,0.65,0.74
09038500,09011000,C,401,0.69,0.49,0.66,0.79,0.77,0.87,0.91,0.78,0.68,0.77,0.53,0.49,0.97
09038500,09034000,C,65,,,,0.94,0.96,0.99,0.98,0.99,0.99,,,,0.97
09038500,09034500,C,496,0.47,0.57,0.71,0.91,0.89,0.88,0.90,0.87,0.64,0.73,0.47,0.44,0.97
09038500,09034500,K,497,0.62,0.58,0.69,0.77,0.76,0.80,0.88,0.86,0.82,0.87,0.73,0.50,0.92
09038500,09035500,C,372,0.52,,,0.62,0.71,0.86,0.97,0.94,0.79,0.78,0.49,0.52,0.93
09038500,09037500,C,521,0.53,0.53,0.35,0.93,0.97,0.99,0.98,0.96,0.91,0.92,0.76,0.48,0.98
09038500,09037500,K,521,0.53,0.51,0.40,0.92,0.90,0.98,0.95,0.78,0.75,0.90,0.76,0.47,0.92
09038500,09047000,C,96,,,,0.88,0.85,0.94,0.90,0.79,0.75,0.81,,,0.96
09038500,09054000,C,341,,0.57,0.58,0.58,0.78,0.79,0.90,0.80,0.59,0.69,0.46,,0.91
09038500,09058000,C,408,0.56,0.60,0.89,0.95,0.93,0.93,0.95,0.90,0.73,0.92,0.69,0.41,0.98
09038500,09070500,C,521,0.35,0.47,0.77,0.95,0.91,0.94,0.95,0.89,0.76,0.79,0.51,0.40,0.98
09038500,09072500,C,161,,,0.90,0.96,0.92,0.97,0.96,0.88,0.84,0.80,,0.56,0.97
09038500,09081600,C,456,0.61,0.53,0.70,0.73,0.69,0.77,0.87,0.82,0.69,0.75,0.60,,0.96
09038500,09095500,C,521,0.52,0.62,0.72,0.91,0.88,0.92,0.94,0.91,0.77,0.84,0.58,0.49,0.98
09038500,09096500,C,239,,,0.56,,,0.79,,0.89,,,,,0.78
09038500,09100500,C,65,,,,,,,,,,,0.89,,0.79
09038500,09112500,K,521,0.52,0.45,0.71,0.79,0.69,0.83,0.88,0.80,0.64,0.77,0.56,0.37,0.96
09038500,09239500,K,521,0.42,0.43,0.81,0.80,0.79,0.87,0.90,0.76,0.73,0.83,0.61,0.42,0.87
09038500,09251000,K,521,0.52,0.45,0.69,0.80,0.66,0.86,0.88,0.76,0.61,0.82,0.58,0.33,0.81
09038500,09340500,K,521,0.49,0.52,0.61,0.82,0.67,0.86,0.90,0.81,0.55,0.67,0.54,0.43,0.86
09039000,09021000,C,421,0.43,,,0.66,0.93,0.95,0.86,0.56,0.55,0.41,,,0.91
09039000,09032500,C,84,,,,,0.95,0.89,0.90,0.90,,0.80,,0.78,0.96
09039000,09034250,C,144,0.60,0.66,,0.77,0.87,0.92,0.87,0.92,0.59,0.85,,0.70,0.94
09039000,09035500,C,336,,0.47,,0.50,0.42,0.67,0.82,0.71,0.52,,,,0.87
09039000,09037500,K,480,0.33,0.34,,0.71,0.78,0.80,0.83,0.64,0.65,0.66,0.52,0.51,0.89
09039000,09040000,C,360,0.64,0.77,0.63,0.78,0.82,0.92,0.82,0.71,0.65,0.79,0.74,0.78,0.92
09039000,09041000,C,192,,,,0.88,0.79,0.86,0.90,,,0.78,0.67,0.50,0.90
09039000,09047000,C,91,0.84,,,,0.95,0.88,0.95,0.80,,,,,0.92
09039000,09053500,C,240,,,,0.84,0.86,0.90,0.89,,,0.67,0.60,,0.90
09039000,09058000,C,372,0.42,0.48,,0.85,0.92,0.91,0.83,0.70,0.48,0.72,0.58,0.46,0.94
09039000,09068000,C,228,,,0.57,0.87,0.79,0.89,0.91,0.66,0.56,0.71,0.64,0.58,0.94
09039000,09069500,C,108,,0.74,0.92,0.71,0.74,0.95,0.84,0.77,,0.69,0.85,0.90,0.85
09039000,09072500,C,156,,0.64,,0.91,0.94,0.96,0.92,0.60,,0.89,0.58,0.58,0.96
09039000,09084000,C,144,,,,,,0.87,0.90,,,0.73,0.76,,0.90
09039000,09085000,C,480,0.56,0.59,0.56,0.79,0.83,0.86,0.80,0.75,0.59,0.58,0.74,0.55,0.93
09039000,09085000,K,480,0.47,0.57,0.56,0.76,0.82,0.82,0.79,0.74,0.59,0.56,0.72,0.46,0.93
09039000,09085100,C,324,0.71,0.54,0.52,0.78,0.90,0.91,0.80,0.80,0.59,0.67,0.65,0.57,0.95
09039000,09087500,C,72,,,,,0.83,0.81,0.94,0.82,,,,,0.95
09039000,09093500,C,107,,0.67,,0.80,0.83,0.81,,,,,,,0.61
09039000,09095500,K,480,0.34,0.52,0.58,0.82,0.88,0.89,0.84,0.74,0.62,0.59,0.63,0.44,0.94
09039000,09096500,C,234,,,,,,0.86,,0.88,0.73,0.57,,,0.80
